stop_id,direction_id,min_start_time,max_end_time,mean_daily_num_vehicles,max_headway,mean_headway
750127,1,07:02:00,28:40:00,79.0,900.0,690.0
750128,0,,,0.0,,
750128,1,06:33:00,28:40:00,98.0,900.0,578.0
750129,0,,,0.0,,
750129,1,06:32:00,28:40:00,160.0,900.0,348.0
750132,0,,,0.0,,
750132,1,06:36:00,28:41:00,126.0,900.0,432.0
750133,0,,,0.0,,
750133,1,06:39:00,28:42:00,128.0,900.0,435.0
750134,0,,,0.0,,
750134,1,06:37:00,28:42:00,130.0,900.0,427.0
750135,0,,,0.0,,
750135,1,06:38:00,28:42:00,130.0,900.0,427.0
750136,0,,,0.0,,
750136,1,06:38:00,28:42:00,130.0,900.0,427.0
750137,0,,,0.0,,
750137,1,06:39:00,28:43:00,130.0,900.0,427.0
750138,0,,,0.0,,
750138,1,06:40:00,28:43:00,130.0,900.0,427.0
750139,0,,,0.0,,
750139,1,06:41:00,28:43:00,130.0,900.0,427.0
750140,0,,,0.0,,
750140,1,06:42:00,28:44:00,130.0,900.0,427.0
750141,0,,,0.0,,
750141,1,06:43:00,28:44:00,130.0,900.0,427.0
750142,0,,,0.0,,
750142,1,06:43:00,28:44:00,112.0,900.0,486.0
750143,0,,,0.0,,
750143,1,06:43:00,28:44:00,112.0,900.0,486.0
750144,0,,,0.0,,
750144,1,07:18:00,22:18:00,16.0,3600.0,3600.0
750145,0,06:18:00,21:18:00,16.0,3600.0,3600.0
750145,1,,,0.0,,
750146,0,06:19:00,21:19:00,16.0,3600.0,3600.0
750146,1,,,0.0,,
750147,0,06:21:00,21:21:00,16.0,3600.0,3600.0
750147,1,,,0.0,,
750148,0,,,0.0,,
750148,1,06:45:00,21:45:00,17.0,3600.0,3300.0
750149,0,,,0.0,,
750149,1,06:50:00,21:50:00,17.0,3600.0,3300.0
750150,0,,,0.0,,
750150,1,06:50:00,21:50:00,17.0,3600.0,3300.0
750151,0,,,0.0,,
750151,1,06:52:00,21:52:00,17.0,3600.0,3300.0
750152,0,,,0.0,,
750152,1,06:52:00,21:52:00,17.0,3600.0,3300.0
750153,0,,,0.0,,
750153,1,06:54:00,21:54:00,17.0,3600.0,3300.0
750154,0,06:21:00,22:19:00,18.0,3600.0,3600.0
750154,1,,,0.0,,
750155,0,06:22:00,22:20:00,18.0,3600.0,3600.0
750155,1,,,0.0,,
750156,0,06:23:00,22:21:00,18.0,3600.0,3600.0
750156,1,,,0.0,,
750157,0,06:26:00,22:24:00,18.0,3600.0,3600.0
750157,1,,,0.0,,
750158,0,06:44:00,21:44:00,16.0,3600.0,3600.0
750158,1,,,0.0,,
750159,0,06:44:00,21:44:00,16.0,3600.0,3600.0
750159,1,,,0.0,,
750160,0,06:45:00,21:45:00,16.0,3600.0,3600.0
750160,1,,,0.0,,
750161,0,06:48:00,21:48:00,16.0,3600.0,3600.0
750161,1,,,0.0,,
750162,0,06:48:00,21:48:00,16.0,3600.0,3600.0
750162,1,,,0.0,,
750163,0,,,0.0,,
750163,1,06:50:00,22:50:00,17.0,3600.0,3600.0
750166,0,06:12:00,21:12:00,16.0,3600.0,3600.0
750166,1,,,0.0,,
750167,0,06:13:00,21:13:00,16.0,3600.0,3600.0
750167,1,,,0.0,,
750168,0,06:13:00,21:13:00,16.0,3600.0,3600.0
750168,1,,,0.0,,
750169,0,06:14:00,21:14:00,16.0,3600.0,3600.0
750169,1,,,0.0,,
750170,0,06:15:00,21:15:00,16.0,3600.0,3600.0
750170,1,,,0.0,,
750171,0,06:17:00,21:17:00,16.0,3600.0,3600.0
750171,1,,,0.0,,
750172,0,,,0.0,,
750172,1,07:19:00,22:19:00,16.0,3600.0,3600.0
750173,0,,,0.0,,
750173,1,07:19:00,22:19:00,16.0,3600.0,3600.0
750174,0,,,0.0,,
750174,1,07:19:00,22:19:00,16.0,3600.0,3600.0
750175,0,,,0.0,,
750175,1,07:20:00,22:20:00,16.0,3600.0,3600.0
750176,0,,,0.0,,
750176,1,07:21:00,22:21:00,16.0,3600.0,3600.0
750177,0,,,0.0,,
750177,1,07:21:00,22:21:00,16.0,3600.0,3600.0
750180,0,,,0.0,,
750180,1,07:22:00,22:22:00,16.0,3600.0,3600.0
750181,0,,,0.0,,
750181,1,07:23:00,22:23:00,16.0,3600.0,3600.0
750182,0,,,0.0,,
750182,1,07:24:00,22:24:00,16.0,3600.0,3600.0
750183,0,,,0.0,,
750183,1,07:27:00,22:27:00,16.0,3600.0,3600.0
750184,0,06:39:00,21:39:00,16.0,3600.0,3600.0
750184,1,,,0.0,,
750185,0,06:31:00,22:30:00,18.0,3600.0,3600.0
750185,1,06:54:00,23:53:00,47.0,1800.0,1190.0
750186,0,06:04:00,23:30:00,80.0,1740.0,706.0
750186,1,06:57:00,24:03:00,82.0,1560.0,728.0
750187,0,06:06:00,23:28:00,80.0,1740.0,703.0
750187,1,06:58:00,24:01:00,35.0,3420.0,1800.0
750188,0,06:08:00,22:35:00,62.0,1740.0,882.0
750188,1,06:59:00,23:58:00,18.0,3600.0,3600.0
750189,0,06:10:00,22:36:00,46.0,1800.0,1183.0
750189,1,,,0.0,,
750190,0,06:38:00,22:37:00,30.0,1800.0,1800.0
750190,1,,,0.0,,
750191,0,06:38:00,22:37:00,30.0,1800.0,1800.0
750191,1,,,0.0,,
750192,0,06:39:00,22:38:00,30.0,1800.0,1800.0
750192,1,,,0.0,,
750193,0,06:40:00,22:39:00,30.0,1800.0,1800.0
750193,1,,,0.0,,
750194,0,06:42:00,22:40:00,30.0,1800.0,1800.0
750194,1,,,0.0,,
750195,0,06:42:00,22:40:00,30.0,1800.0,1800.0
750195,1,,,0.0,,
750196,0,06:44:00,22:41:00,30.0,1800.0,1800.0
750196,1,,,0.0,,
750197,0,06:46:00,22:43:00,30.0,1800.0,1800.0
750197,1,,,0.0,,
