stop_id,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
750226,,,,,,,2.0,9.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.0,4.0,3.0,3.0,2.0
750227,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750228,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750229,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750230,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750231,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750232,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750233,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750234,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750235,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750236,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
750237,1.0,,,,,,2.0,10.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,6.0,4.0,3.0,3.0,2.0
750238,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750239,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750240,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750241,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750242,,,,,,,3.0,10.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,6.0,4.0,3.0,3.0,2.0
750243,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750244,,,,,,,2.0,9.0,10.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,8.0,5.0,3.0,2.0,2.0,1.0
750245,,,,,,,1.0,9.0,10.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,5.0,3.0,2.0,2.0,1.0
750246,0.2,0.2,0.2,0.2,0.2,,3.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,9.0,4.0,3.0,3.0,3.0,2.0,1.0
750247,0.2,0.2,0.2,0.2,0.2,,3.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,4.0,3.0,3.0,3.0,2.0,1.0
750248,0.2,0.2,0.2,0.2,0.2,,3.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,4.0,3.0,3.0,3.0,2.0,1.0
750249,0.2,0.2,0.2,0.2,0.2,,3.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,4.0,3.0,3.0,3.0,2.0,1.0
750250,,,,,,,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0
750251,0.2,0.2,0.2,0.2,0.2,,2.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,5.0,3.0,3.0,3.0,2.0,1.0
750252,0.2,0.2,0.2,0.2,0.2,,2.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,5.0,3.0,3.0,3.0,2.0,1.0
750253,0.2,0.2,0.2,0.2,0.2,,2.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,5.0,3.0,3.0,3.0,2.0,1.0
750254,0.2,0.2,0.2,0.2,0.2,,2.0,7.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,5.0,3.0,3.0,3.0,3.0,1.0
750255,1.2,0.2,0.2,0.2,0.2,,1.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,11.0,7.0,4.0,4.0,4.0,4.0,2.0
750256,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,
